,id,location name,type,area,price,over-valued,under-valued,normal
3845,2644364,Quinta da Marinha,houses,192.0,995000,0.0,1.0,0.0
3846,2644443,Quinta da Marinha,houses,197.0,1125000,0.0,0.0,1.0
3847,2644772,Quinta da Marinha,houses,950.0,4900000,0.0,1.0,0.0
3848,2644787,Quinta da Marinha,houses,215.0,1399000,0.0,0.0,1.0
3849,2644857,Quinta da Marinha,houses,118.0,650000,0.0,0.0,1.0
3850,2644897,Quinta da Marinha,houses,246.0,940000,0.0,1.0,0.0
3851,2644900,Quinta da Marinha,houses,310.0,1500000,0.0,1.0,0.0
3852,2646046,Quinta da Marinha,houses,192.0,1295000,1.0,0.0,0.0
3853,2646258,Quinta da Marinha,houses,192.0,995000,0.0,1.0,0.0
3854,2646618,Quinta da Marinha,houses,950.0,4900000,0.0,1.0,0.0
3855,2646672,Quinta da Marinha,houses,215.0,1399000,0.0,0.0,1.0
3856,2646730,Quinta da Marinha,houses,246.0,940000,0.0,1.0,0.0
3857,2646761,Quinta da Marinha,houses,310.0,1500000,0.0,1.0,0.0
3858,2647133,Nagüeles,houses,190.0,330000,0.0,1.0,0.0
3859,2684759,Nagüeles,apartments,179.0,455000,0.0,1.0,0.0
3860,2685959,Quinta da Marinha,houses,192.0,1245000,0.0,0.0,1.0
3861,2685967,Quinta da Marinha,houses,196.0,1295000,1.0,0.0,0.0
3862,2686257,Quinta da Marinha,houses,250.0,1490000,0.0,0.0,1.0
3863,2686688,Quinta da Marinha,houses,192.0,1245000,0.0,0.0,1.0
3864,2686690,Quinta da Marinha,houses,196.0,1295000,1.0,0.0,0.0
3865,2687203,Quinta da Marinha,houses,250.0,1490000,0.0,0.0,1.0
3866,2687481,Quinta da Marinha,houses,118.0,650000,0.0,0.0,1.0
3867,2687909,Nagüeles,houses,204.0,498000,0.0,1.0,0.0
3868,2691241,Alenquer,houses,150.0,72500,0.0,1.0,0.0
3869,2691426,Alenquer,apartments,69.0,72500,1.0,0.0,0.0
3870,2691475,Alenquer,houses,200.0,135000,0.0,1.0,0.0
3871,2691489,Alenquer,plots,3911.0,195000,0.0,1.0,0.0
3872,2691508,Alenquer,houses,120.0,199000,1.0,0.0,0.0
3873,2691512,Alenquer,apartments,77.0,67000,0.0,0.0,1.0
3874,2691524,Alenquer,plots,10080.0,59900,0.0,1.0,0.0
3875,2691525,Alenquer,plots,1894.0,50000,0.0,1.0,0.0
3876,2691526,Alenquer,plots,6080.0,70000,0.0,1.0,0.0
3878,2691838,Alenquer,apartments,98.0,115000,1.0,0.0,0.0
3879,2691980,Alenquer,plots,17000.0,150000,0.0,1.0,0.0
3880,2691990,Alenquer,houses,114.0,60000,0.0,1.0,0.0
3881,2691991,Alenquer,houses,57.0,100000,1.0,0.0,0.0
3882,2692163,Alenquer,apartments,100.0,110000,1.0,0.0,0.0
3883,2692166,Alenquer,houses,104.0,89500,0.0,1.0,0.0
3884,2692323,Alenquer,houses,14000.0,89000,0.0,1.0,0.0
3885,2692501,Alenquer,houses,178.0,79000,0.0,1.0,0.0
3886,2692502,Alenquer,houses,170.0,150000,0.0,0.0,1.0
